Station,Name,Latitude,Longitude,Elevation
40700,Parsabad,39.6064,47.8822,77.8
40701,Maku,39.3794,44.3916,1411.2
40703,Khoy,38.558,44.9952,1103.4
40704,Ahar,38.4333,47.0667,1391
40706,Tabriz,38.1222,46.2425,1361
40708,Ardebil,38.218,48.3286,1335.2
40710,Sarab,37.9333,47.5333,1682
40712,Orumiyeh,37.6586,45.0552,1328
40713,Maragheh,37.3475,46.1458,1344
40716,Mianeh,37.45,47.7,1110
40718,Bandar Anzali,37.4797,49.4575,-23.6
40719,Rasht,37.3167,49.6167,-8.6
40721,Maravehtappeh,37.8016,55.9433,460
40723,Bojnurd,37.4872,57.3033,1065
40726,Mahabad,36.7533,45.7152,1351.8
40727,Saqez,36.25,46.2667,1522.8
40729,Zanjan,36.6602,48.5216,1659.4
40731,Qazvin,36.2616,50.0613,1279.1
40732,Ramsar,36.9044,50.6833,-20
40734,Nowshahr,36.6613,51.4669,-20.9
40736,Babolsar,36.6986,52.6425,-21
40737,Gharakhil,36.4541,52.7716,14.7
40738,Gorgan,36.905,54.4136,0
40739,Shahrud,36.3805,54.9297,1325.2
40740,Quchan,37.1175,58.468,1287
40741,Sarakhs,36.5372,61.1488,278
40743,Sabzevar,36.2167,57.6667,962
40745,Mashhad,36.2363,59.6311,999.2
40747,Sanandaj,35.3333,47,1373.4
40754,Tehran,35.6933,51.3094,1191
40757,Semnan,35.5883,53.4213,1127
40762,Torbat Heydariyeh,35.3316,59.2058,1451
40763,Kashmar,35.2711,58.4733,1109.7
40766,Kermanshah,34.3522,47.1533,1318.5
40768,Hamedan,34.8694,48.5347,1740.8
40769,Arak,34.0719,49.7833,1702.8
40780,Ilam,33.5877,46.3977,1337
40782,Khorramabad,33.4388,48.2836,1147.8
40783,Aligudarz,33.408,49.7025,2022.1
40785,Kashan,33.9669,51.4808,955
40789,Khur Va Biabanak,33.77,55.0816,842.2
40791,Tabas,33.6036,56.9508,711
40792,Ferdows,34.0305,58.1841,1293
40794,Safiabad Dezful,32.2667,48.4167,82.9
40798,Shahrekord,32.2922,50.8394,2048.9
40800,Esfahan,32.5175,51.7061,1550.4
40809,Birjand,32.8905,59.2836,1491
40811,Ahvaz,31.3447,48.7441,22.5
40812,Masjedsoleyman,31.9833,49.2408,320.5
40818,Abadeh,31.1983,52.6163,2030
40821,Yazd,31.9038,54.2897,1230.2
40827,Nehbandan,31.5419,60.0347,1188
40829,Zabol,31.0886,61.543,489.2
40831,Abadan,30.3772,48.2147,6.6
40833,Omidiyeh Aghajari,30.7425,49.6877,27
40835,Dogonbadan,30.3461,50.8191,726
40836,Yasuj,30.6986,51.555,1816.3
40841,Kerman,30.25,56.9667,1748
40848,Shiraz,29.5613,52.6025,1488
40851,Sirjan,29.4666,55.6833,1739.4
40853,Baft,29.2333,56.5833,2280
40854,Bam,29.0802,58.3522,1067
40856,Zahedan,29.4722,60.9002,1370
40858,Bushehr,28.963,50.8191,9
40859,Fasa,28.8994,53.7194,1268
40872,Bandar Dayyer,27.8333,51.9333,4
40875,Bandarabbas,27.2147,56.3727,9.8
40877,Kahnuj,27.9941,57.7113,499
40878,Saravan,27.3902,62.3188,1182
40879,Iranshahr,27.2294,60.7183,591.1
40882,Kish Island,26.5222,53.9822,30
40883,Bandar Lengeh,26.5283,54.8283,22.7
40889,Siri Island,25.8977,54.5511,4.4
40890,Abumusa Island,25.8741,55.0133,6.6
40893,Jask,25.6377,57.7697,5.2
40897,Konarak,25.4363,60.3747,30
40898,Chahbahar,25.2811,60.6511,8
